allergyName,medID,ConflictCheck
Peanuts,09214914,False
Shellfish,09214914,False
Latex,66025632,False
Dust,66025632,True
Peanuts,47834146,True
Pollen,47834146,False
Dust,47834146,True
Dust,90393040,True
Shellfish,90393040,False
Latex,90393040,False
Peanuts,14273636,False
Shellfish,14273636,True
Dust,00682442,True
Pollen,00682442,False
Mold,56817459,False
Shellfish,56817459,True
Shellfish,26871430,True
Pollen,26871430,False
Dust,39832859,False
Latex,39832859,False
Shellfish,39832859,True
Dust,60476272,True
Mold,60476272,False
Peanuts,18983471,False
Latex,18983471,False
Mold,18983471,True
Dust,97839192,True
Mold,97839192,False
Pollen,97839192,True
Shellfish,83531673,False
Mold,40435380,True
Latex,40435380,False
Latex,61420274,False
Peanuts,61420274,True
Pollen,61420274,False
Shellfish,03575902,True
Latex,03575902,False
Mold,03575902,False
Peanuts,35204030,True
Dust,57341112,False
Peanuts,57341112,False
Pollen,57341112,False
Peanuts,37391745,False
Peanuts,48097822,False
Dust,72766673,False
Pollen,72766673,False
Peanuts,72766673,False
Shellfish,12474966,True
Latex,12474966,True
Dust,12474966,True
Pollen,39085743,True
Peanuts,39085743,True
Latex,39085743,False
Peanuts,19442738,True
Pollen,19442738,True
Shellfish,19442738,False
Pollen,94236203,True
Shellfish,94236203,False
Mold,48497937,False
Peanuts,11694484,True
Shellfish,11694484,True
Latex,88257377,True
Dust,88257377,False
Peanuts,88257377,False
Latex,68689566,True
Pollen,68689566,False
Dust,68689566,False
Latex,11164115,True
Pollen,86932385,True
Mold,30420115,True
Mold,67416509,True
Dust,67416509,False
Peanuts,78479628,False
Pollen,11574939,True
Latex,11574939,True
Peanuts,11574939,True
Mold,19478851,False
Latex,46940771,False
Dust,05418226,True
Mold,68326643,True
Dust,68326643,False
Peanuts,68326643,False
Pollen,83631967,True
Peanuts,83631967,True
Latex,83631967,False
Latex,92329570,False
Pollen,92329570,False
Pollen,17470093,False
Peanuts,79686921,False
Shellfish,79686921,True
Dust,70976049,True
Shellfish,70976049,True
Latex,70976049,False
Mold,49752985,True
Latex,21332994,True
Dust,70491304,True
Pollen,70491304,True
Mold,70491304,True
Mold,81298663,True
Latex,81298663,True
Dust,93882352,True
Shellfish,93882352,False
Peanuts,93882352,False
Pollen,38938106,False
Mold,20307596,False
Latex,20307596,False
Mold,88197529,True
Peanuts,18917172,False
Dust,12193849,True
Peanuts,66567504,True
Pollen,66567504,True
Shellfish,66567504,True
Shellfish,24653326,False
Pollen,24653326,True
Peanuts,62267307,True
Mold,62267307,True
Pollen,29054315,False
Pollen,61251393,False
Mold,61251393,True
Peanuts,61251393,False
Latex,19880627,True
Pollen,19880627,False
Peanuts,54943437,True
Latex,54943437,False
Dust,31930336,True
Shellfish,58306394,False
Mold,58306394,False
Pollen,58306394,False
Dust,13368097,True
Shellfish,13368097,True
Peanuts,52018946,True
Latex,03874712,True
Pollen,03874712,False
Shellfish,03874712,True
Mold,69361114,False
Dust,69361114,False
Peanuts,69361114,True
Peanuts,27502271,True
Pollen,27502271,True
Shellfish,27502271,False
Dust,15427281,True
Mold,22627701,True
Dust,68189303,False
Peanuts,68189303,False
Pollen,68189303,False
Latex,51837657,False
Mold,51837657,False
Shellfish,51837657,True
Peanuts,75114255,False
Pollen,75114255,False
Latex,75114255,True
Dust,94699296,True
Latex,94699296,False
Shellfish,94699296,True
Mold,25277670,False
Shellfish,25277670,False
Peanuts,66080784,False
Pollen,66080784,True
Shellfish,87616770,False
Mold,87616770,False
Shellfish,38518654,False
Latex,38518654,False
Pollen,44687688,True
Dust,44687688,True
Mold,91308151,True
Dust,89370103,True
Peanuts,89370103,False
Mold,23157159,True
Dust,23157159,False
Peanuts,48630283,False
Shellfish,99351208,True
Latex,99351208,False
Peanuts,33423024,True
Latex,11653047,True
Shellfish,11653047,True
Pollen,79355588,True
Peanuts,20468028,True
Dust,20468028,False
Pollen,13968259,False
Dust,13968259,True
Peanuts,13968259,True
Dust,42122155,True
Peanuts,42122155,False
Shellfish,42122155,True
Pollen,77987540,True
Pollen,92936447,False
Peanuts,92936447,True
Shellfish,92936447,False
Pollen,25355041,True
Latex,25355041,False
Dust,25355041,True
Shellfish,74283676,False
Mold,74283676,True
Peanuts,01160475,False
Mold,01160475,True
Mold,27825526,False
Latex,27825526,True
Peanuts,45764516,True
Pollen,45764516,True
Mold,34363263,True
Latex,66688950,False
Dust,24787477,True
Latex,61995874,False
Shellfish,61995874,True
Mold,52477162,False
Dust,52477162,True
Shellfish,52477162,True
Latex,26166309,True
Mold,26166309,False
Pollen,26166309,True
Mold,83251729,True
Dust,83251729,False
Latex,46573733,True
Peanuts,46573733,False
Pollen,46573733,True
Pollen,27511612,False
Shellfish,57741650,False
Latex,57741650,False
Dust,26335647,True
Peanuts,26335647,True
Latex,91019695,False
Mold,56920765,False
Shellfish,56920765,False
Latex,95489760,True
Latex,35713586,False
Shellfish,35713586,False
Shellfish,61926320,True
Mold,42004342,False
Peanuts,42004342,False
Pollen,27156880,False
Shellfish,27156880,False
Peanuts,79557605,True
Dust,79557605,True
Shellfish,27608525,False
Dust,91807044,False
Peanuts,91807044,False
Peanuts,91811215,False
Shellfish,91811215,True
Dust,91811215,False
Dust,49480592,False
Dust,44530615,False
Peanuts,44530615,True
Mold,44530615,False
Latex,71240315,False
Peanuts,37862989,False
Pollen,15025625,True
Mold,15025625,False
Peanuts,54331287,True
Dust,54331287,False
Shellfish,54331287,False
Pollen,48624488,True
Peanuts,48624488,True
Peanuts,61656630,False
Shellfish,61656630,False
Shellfish,40079456,True
Dust,48858469,True
Pollen,94547788,True
Latex,94547788,True
Peanuts,30568135,False
Latex,30568135,False
Pollen,82572359,False
Dust,82572359,True
Shellfish,25606554,False
Pollen,25606554,False
Pollen,46514584,False
Latex,73023334,True
Latex,23902871,False
Peanuts,23902871,True
Peanuts,70808253,True
Shellfish,70808253,True
Latex,08616975,False
Dust,08616975,True
Mold,40094353,True
Latex,40094353,True
Peanuts,40094353,False
Dust,40780511,False
Peanuts,40780511,False
Shellfish,40780511,True
Mold,41573922,True
Dust,29782379,False
Latex,29782379,False
Shellfish,29782379,False
Latex,79909278,True
Pollen,79909278,False
Peanuts,79909278,False
Dust,32249845,True
Shellfish,35706814,False
Latex,35706814,True
Latex,79967695,True
Shellfish,10678423,True
Pollen,10678423,False
Latex,10678423,False
Shellfish,27728808,True
Shellfish,05514279,False
Latex,05514279,False
Pollen,05514279,True
Dust,45192667,True
Dust,94017290,True
Peanuts,94017290,True
Pollen,63005594,False
Peanuts,63005594,False
Mold,63005594,True
Mold,35511528,False
Mold,75250339,True
Pollen,13088167,False
Latex,13088167,True
Pollen,81934597,True
Mold,81934597,False
Peanuts,81934597,False
Shellfish,11104889,True
Peanuts,74229870,False
Latex,74229870,True
Mold,56123826,False
Dust,56123826,True
Dust,18839350,False
Pollen,18839350,False
Mold,18839350,True
Pollen,60314071,True
Peanuts,60314071,False
Shellfish,60314071,True
Dust,15329615,False
Latex,15329615,False
Latex,75140081,True
Peanuts,75140081,True
Dust,75140081,True
Dust,06417665,True
Latex,06417665,True
Peanuts,06417665,False
Mold,64076550,True
Mold,56675706,True
Dust,56675706,False
Pollen,56675706,True
Shellfish,00763584,False
Peanuts,00763584,False
Latex,00763584,False
Pollen,87066326,False
Peanuts,87066326,False
Dust,58588672,True
Mold,58588672,True
Peanuts,58588672,True
Dust,25755812,False
Shellfish,25755812,True
Pollen,25755812,False
Latex,06360184,False
Mold,06360184,True
Peanuts,44807044,True
Dust,44807044,True
Mold,41802092,True
Dust,41802092,True
Mold,69345617,False
Dust,69345617,True
Pollen,94653908,True
Latex,94653908,False
Peanuts,19567643,False
Dust,19567643,False
Shellfish,90934667,False
Dust,90934667,False
Mold,90934667,False
Dust,61729141,True
Peanuts,61729141,True
Latex,95104377,True
Shellfish,95104377,False
Shellfish,42173892,True
Mold,42173892,False
Peanuts,23727228,True
Latex,23727228,True
Dust,23727228,True
Peanuts,84105820,False
Pollen,84105820,False
Peanuts,32439342,True
Dust,36238773,True
Pollen,59632863,True
Dust,59632863,False
Mold,59632863,False
Shellfish,56300521,True
Mold,56300521,True
Pollen,56300521,True
Shellfish,52518608,False
Dust,52518608,True
Pollen,52518608,False
Shellfish,55356154,True
Peanuts,55356154,True
Pollen,55356154,True
Mold,94946765,False
Shellfish,94946765,True
Shellfish,41745475,True
Dust,41745475,False
Pollen,41745475,False
Pollen,29030202,True
Shellfish,29030202,True
Latex,29030202,False
Shellfish,26474438,True
Mold,26474438,False
Dust,26474438,False
Shellfish,96340828,True
Shellfish,53876076,False
Pollen,53876076,True
Mold,53876076,False
Mold,52865371,True
Dust,55960668,True
Pollen,55960668,False
Dust,94680282,True
Latex,94680282,False
Mold,94680282,False
Mold,58808744,False
Latex,58808744,True
Peanuts,58808744,False
Peanuts,04576968,False
Pollen,04576968,False
Peanuts,47054141,False
Pollen,47054141,False
Shellfish,47054141,True
Peanuts,39459525,False
Latex,18759604,True
Mold,18759604,False
Peanuts,18759604,False
Peanuts,99362243,False
Latex,99362243,False
Mold,99362243,False
Pollen,66869908,False
Mold,66869908,False
Dust,00275799,False
Dust,89901861,False
Shellfish,89901861,False
Peanuts,22847718,True
Dust,57446816,True
Latex,57446816,False
Mold,57446816,False
Mold,06892094,True
Pollen,22539651,False
Latex,22539651,False
Pollen,76941494,False
Shellfish,76941494,False
Peanuts,76941494,False
Shellfish,94982116,False
Peanuts,94982116,False
Latex,78494308,False
Peanuts,78494308,True
Shellfish,78494308,False
Shellfish,59679227,True
Pollen,71100102,True
Peanuts,71100102,False
Shellfish,71100102,True
Pollen,85599111,False
Peanuts,85599111,True
Latex,46303757,False
Peanuts,08286924,False
Latex,08286924,False
Pollen,77075155,False
Latex,77075155,False
Shellfish,77075155,True
Pollen,42085315,False
Mold,42085315,True
Mold,86829685,True
Dust,86829685,False
Latex,86829685,True
Dust,68120585,True
Mold,68120585,False
Latex,68120585,False
Mold,15987752,True
Peanuts,15987752,True
Peanuts,96174021,True
Mold,96174021,True
Mold,40678700,False
Dust,98126844,False
Latex,98126844,False
